Title,Review,Rating
Just wow!,"In this price.....this phone is fantastic guys

Battery is massive 😍
Screen is excellent ...,.... Camera is average but not bad in this price u don't get everything perfect. ( Look pictures which is taken from the same phone )
6000 mAh battery , 90Ghz smooth refresh rate. 10 Watt charger takes more time to charge but its ok with 2 days battery life.",5
Terrific purchase,"First impression is very good . Value for money smartphone
Must buy phone for those who wants an all rounder phone in tight(less) budget . Battery , Procesaor , Screen is far good from its price but camera is okay with lots of features like timelapse and slowmo .",5
Great product,Thank you for Flipkart again for good condition mobile infinite hot 12 play . Ram 4. B.t.600 m...64 .?,5
Classy product,"This is a very premium looking mobile with large display without any notch.... Despite of HD+ display it looks very vibrant... Very good for multimedia consumption... Has a huge battery provides you long duration battery backup... Processor is quite capable for gaming, not recommend for hardcore gamers.... Having only 10W charger takes longer time to get charge than expected.... Weakest point associated with the device is it's camera output both front and rear... Not get heated too much while...
READ MORE",5
Good quality product,"Good value for money product. Camera I not that good but you can't complain about it because of price. Fingerprint & face unlock works perfectly & quite fast.

Battery is beast.",4
Excellent,Big diaplay big batery camera is not good phone looks awesome blue colour very nice over all phone is very good I'm purchasing new phone after years great experience thanks infinix valueble device thanks,5
Very Good,Mobile very good condition and battery backup is fine camera low quality display good and value for money very good guys buy this phone and enjoy...,4
Wonderful,"Super mobile, performance all are super very big display value for money 💰💰💰 camera quality is also good front flash excellent 👌👌👌 battery 🔋 backup all are super worth for money I am happy with this product 🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳",5
Value-for-money,"This phone is value for money
Good experience
Weight is heavy and the size is also big
Camra quality is bad
Display is super bessles are good in this segment
Battery backup is good but chargine is more timing process
Overoll good phone and infinix done a good job
Value for money phone",4
Highly recommended,Wow wow perfomance 🥰😍 Hahim market Delivery boy good man I loved 😍 thank you so much Flipkart mamber's,5
Highly recommended,Wow wow perfomance 🥰😍 Hahim market Delivery boy good man I loved 😍 thank you so much Flipkart mamber's,5
Super!,"Very good phone camera is also good, battery backup is very good, design is also cool 😎... It is a very good phone according to the budget.. 😊",5
Simply awesome,"6.82 inch giant screen
Puch hole display
6000 mAh massive battery
4 GB+ 3 GB virtual = 7 GB ram
90 heartz super smooth display
You will get all this things in such a affordable price!!!
So what more could you want?
Ignore all negetive comments, stop searching on the internet, don't think too much and just buy now this amazing phone!
You will surely not feel regret after buying this phone and thanks me later.",5
Simply awesome,"Awesome mobile, this is my 4th mobile from infinix. Infinix S5 lite, Smart, infinix hot 10 play and infinix hot 12 play. I love this mobile among all other infinix mobiles which I have bought so far.",5
Terrific purchase,"I am really addicted to Infinix brand, because it is doing truly amazing by bringing super smartphone at super price. No other company is doing such thing. So we have now really became a true Infinix family. Started from Infinix hot 8(which is working super fine till now) to recent Infinix hot 12 play.

Don't think much, don't waste time by searching on the internet, just buy it bilndly and you will definitely thanks me later.",5
Must buy!,"After 15 days of use reviewing this, phone is very good in performance, display colour ,battery, handy usable. Avarage uses time on internet is 8hours in a day cause of my work is mobile phone internet based , even I am getting upto 1.5-2 days battery backup. Just mind blowing and value for money. But I recommend to user plz use a silicon back cover for more effective, because the plastic cover which is given by company is not durable and it will break after maximum 3-4days.",5
Good,This phone is good in this price range but only one think is very much needed in this is fast charging support and in the box fast charger adaptor which can charge the device in less time. This phone has charging 0-100 within 4-5 hours.which was too much high time,3
Slightly disappointed,"Cons:- Camera is little bit bad and sound quality is whack and display covers up almost all the screen which makes playing games harder because you skin touches the side screen and you will give multiple touch response even when you don't intend too

Pros:- Very good battery life with awesome looks and value for money with. Good mobile performance.

Writing this review at start of the arrival might change my review after few weeks of use

Update:- the phone heat up very fast when you play eve...
READ MORE",2
Highly recommended,Complete value for money device. Never expected such good performance from this phone. Yet so quick like a good mid range mobile. Display is good as so as the battery. Punch hole display looks rich! For day to day normal usage this phone is perfect. Go for it!,5
Best in the market!,Best in the market good Quality highly Recommended nice infinix mobiles phone,5
Good choice,"Best
I'm giving 4 star because camera and speaker are not very good but avarage
6000mAh battery
90h refresh rate
6.82 display
Helio g85
Over all good phone go for it",4
Brilliant,My phone infnix hot 12play was some days old in which i have used it as more as possible even then it perform well . In such a price of 8500 i dont expect such a awesome phone.,5
Worth every penny,It's a amazing phone in this price range. Fully recommended for low budget people. I am very happy with infinix hot 12 play........... 😊😊,5
Highly recommended,"Just awesome camera is good
Battery omg just perfect
Display is very good one
Totally worth for money
It's similar to tecno mobiles
Best part is its made in india
And it also provides you a plastic transperant cover but that's not enough to protect ur phone...it would be just enough to protect ur phones from scratch but it breaks easily...it breaks in just 1week...mean it gets some scratches and breakouts",5
Slightly disappointed,"Everything is fine except battery charging , but this UI is new for me so , making some difficult for me..
I got this phone on 25th of June , after draining battery fully , when I plugged in to charge . It took 11.5 hours to get fully charged with its provided adapter.. this was very disappointing .. battery backup is good enough.. camera is not expected as stated .. I can click as clean as photo with 5MP of redmi phone , which I can't with its 13MP lens.. I made return request.. it's good t...
READ MORE",2
Just okay,"The phone has almost all the features but the Camera Quality is not good as Infinix Smart 4. While the camera of both is of the same megapixels. Infinix Smart 4 has a very good quality Camera rather than this.
So the Phone is Good in the range of 8K to 8.5K",3
Very Good,"at this price range this mobile is good ... camera is slightly less better ,,, battery life not so good.. fast charging not support... display quality not bad not so good .... ...",4
Highly recommended,Value for money good camera 🤩🤩,5
Just wow!,Very nice phone,5
Terrific,Good product 👍👌👌,5
Perfect product!,Nice Phone,5
Really Nice,"Look wise cool
1st experience of Infinix just love it.
Go for made in India
Fit in budget
My mumma love it...",4
Does the job,Was ok...but call notification and other notification are shown in display board near about 20 or 25 seconds around..this is not good,3
Wonderful,Budget phone 📱,4
Best in the market!,Excellent budget killer mobile...,5
Perfect product!,Very nice,5
Fabulous!,Nice,5
Super!,Tha Phone Is amazing..❤️I Jast Love It ❤️But accessories quality is very poor 👎,5
Very Good,good,4
Excellent,Nice 👍 product 👍,5
Excellent,Value for money nice phone thanks infinix and thanks flipkart,5
Awesome,Very good mobile 📲,5
Nice,Very good product,3
Nice product,Nice phone love it😍,4
Highly recommended,Super,5
Best in the market!,Very nice smartphone 🤓🤓🤓,5
Simply awesome,Good,5
Wonderful,Infinix hot dual place photos super,5
Mind-blowing purchase,Overall Good product...,5
Mind-blowing purchase,excellent verry good Mobile ...,5
Classy product,Good product..🥰As,5
Terrific purchase,Best budget smartphone,5
Value-for-money,Bought for my mom..she loved good phone,4
Worth every penny,Nice phone in budget range.. display quality is also very good.. camera is average.,5
Highly recommended,Best mobile phone but camera is not to be good,5
Simply awesome,"Best budget phone
This phone camera is very good than vi vo",5
Perfect product!,So wonderful product,5
Must buy!,Nice,5
Good quality product,Nice phone,4
Excellent,Good product... Value of money....,5
Really Nice,"Honest review

Rear camera is good but in night 🌙 condition both rear and front disappointed .

Display , Battery ,performance and overall A good 👍 product at this price range .

You should go this product .

Thank you",4
Excellent,Superb camera ❤️.,5
Good quality product,Very nice,4
Delightful,"Just Nice
this is budget phone battery performance is good, camera and display average, overall everything is good.",4
Super!,"Very nice product
#akashchauhanfbd",5
Just okay,"After 3 days of usage
Aesthetically appealing
Sound quality is excellent
Pics quality also good
Batery life and recharge time* in acceptable limit
The major issues are as follows:
1.touch screen sensor not upto the mark
2. closing of any app it's difficult
3.no separate icons not provided at the bottom of screen to close the app or make it short
4. 4 to 5 seconds delay in delete the pics in camara
As an Indian company i have a strong suggestions.
Try to introduce customer friendly smart ph...
READ MORE",3
Super!,value for money..,5
Awesome,One of the best phone in this price range...😍😍😍,5
Fabulous!,Very nice phone,5
Horrible,Sound quality is very poor and return policy not allowed.,1
Delightful,Nice mobile,4
Excellent,Super mobile,5
Just wow!,Nice,5
Wonderful,Phone is good but camera is ok ok..,5
Terrific,Nice camera,5
Excellent,Good product and price,5
Just wow!,Only bought today.satisfied till now,5
Decent product,Good,3
Just wow!,Amazing mobile and very good mobile,5
Must buy!,Very good product.,5
Great product,Good,5
Classy product,Very good,5
Delightful,Phone is very good but camera is not good battery backup is very very good.display is simple quality.,4
Highly recommended,On of the best phone in this price range. 😍😍👌Highly recommended 👍,5
Fabulous!,Really Osaammm and Amazing Mobile . Go For It. ❤️❤️❤️,5
Fabulous!,very smart phone,5
Worst experience ever!,Speaker not good,1
Classy product,Vellu for money,5
Just wow!,Good,5
Very Good,"Best phone under this price segement....
Battery backup is good ....
Camera quality is average...
Good performance....",4
Pretty good,Nice bugat phone,4
Wonderful,Good,4
Terrific,"This price range it is best sepcial who love big display
I will be recommended",5
Super!,Budget wise fantastic🌼,5
Classy product,Super mobile in this price range..Loved it 😍🤩..Thanks to Flipkart.. Thanks to Infinix,5
Brilliant,Nice phone and battery backup is superb value for money 🙂💥🔥,5
Worth every penny,"Very good battery backup & Good phone ,but camera quality was little bit not cleared.",5
Super!,Nice👍 product 👍✨,5
Did not meet expectations,Mobile charge very slowly..Very disappointed from charger,1
Awesome,Best phone budget 🤪,5
